,city,latitude,longitude,temperature,humidity,cloudiness,max windspeed
490,ushuaia,-54.81,-68.31,7.0,81,75,12.3
22,port alfred,-33.59,26.89,22.09,94,100,1.32
416,los llanos de aridane,28.66,-17.92,15.0,82,0,3.6
80,nuuk,64.17,-51.74,-3.0,49,56,9.8
459,hithadhoo,-0.6,73.08,28.72,100,64,2.47
484,busselton,-33.64,115.35,24.09,80,0,6.87
354,busselton,-33.64,115.35,24.09,80,0,6.87
207,hermanus,-34.42,19.24,17.56,95,88,2.02
498,hithadhoo,-0.6,73.08,28.72,100,64,2.47
28,santa rita,10.21,-67.56,20.06,91,32,1.37
386,saint george,39.45,22.34,1.07,70,20,1.02
264,narsaq,60.91,-46.05,-2.0,63,32,19.0
24,varhaug,58.61,5.65,6.0,87,90,11.8
576,chicama,-7.84,-79.15,24.0,88,75,3.6
122,ilulissat,69.22,-51.1,-13.0,65,20,4.1
116,ostrovnoy,68.05,39.51,-10.66,87,44,5.12
30,meulaboh,4.14,96.13,27.02,100,12,0.82
557,chopovychi,50.83,28.95,-2.99,89,56,4.57
187,ribeira grande,38.52,-28.7,15.67,100,68,8.92
252,tizimin,21.14,-88.15,23.49,63,36,3.87
168,mogadishu,2.04,45.34,25.82,100,88,8.52
84,vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
197,moose factory,51.26,-80.61,-17.0,70,1,4.6
57,ushuaia,-54.81,-68.31,7.0,81,75,12.3
418,ushuaia,-54.81,-68.31,7.0,81,75,12.3
133,cape town,-33.93,18.42,18.0,93,20,7.2
153,lebu,8.96,38.73,4.64,86,0,1.17
358,nioro,13.79,-15.05,22.52,33,8,4.22
170,saint-georges,46.12,-70.67,-10.49,52,0,4.87
204,port alfred,-33.59,26.89,22.09,94,100,1.32
156,bredasdorp,-34.53,20.04,21.0,83,92,4.6
406,souillac,45.6,-0.6,12.0,71,0,7.7
106,narsaq,60.91,-46.05,-2.0,63,32,19.0
391,ushuaia,-54.81,-68.31,7.0,81,75,12.3
224,lebu,8.96,38.73,4.64,86,0,1.17
442,busselton,-33.64,115.35,24.09,80,0,6.87
60,shubarshi,48.59,57.19,-22.26,47,0,1.37
77,chlum u trebone,48.96,14.93,0.81,86,56,3.47
267,bandarbeyla,9.49,50.81,24.42,100,80,5.02
422,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
569,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
5,punta arenas,-53.16,-70.91,7.0,75,75,8.2
500,abu dhabi,24.47,54.37,17.0,67,0,3.1
450,punta arenas,-53.16,-70.91,7.0,75,75,8.2
564,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
109,busselton,-33.64,115.35,24.09,80,0,6.87
154,lucea,18.44,-78.17,25.0,73,20,4.6
376,ushuaia,-54.81,-68.31,7.0,81,75,12.3
259,inta,66.04,60.13,-17.74,74,88,1.07
527,cape town,-33.93,18.42,18.0,93,20,7.2
582,punta arenas,-53.16,-70.91,7.0,75,75,8.2
377,sumbe,-11.2,13.84,25.37,100,88,1.02
141,big rapids,43.7,-85.48,-10.21,81,90,1.52
32,keti bandar,24.14,67.45,18.74,100,0,3.42
41,victoria,5.28,115.24,29.44,70,75,1.0
548,clyde river,70.47,-68.59,-32.0,74,1,2.1
369,mar del plata,-46.43,-67.52,14.87,42,24,7.52
508,mercedes,-33.25,-58.03,24.89,72,20,3.07
479,san pedro,-33.68,-59.66,23.84,84,8,1.37
579,pisco,-13.71,-76.2,24.0,94,75,6.7
222,makat,47.65,53.35,-15.14,80,24,3.82
331,ushuaia,-54.81,-68.31,7.0,81,75,12.3
489,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
357,ushuaia,-54.81,-68.31,7.0,81,75,12.3
319,hope mills,34.97,-78.95,1.21,49,1,1.5
172,cape town,-33.93,18.42,18.0,93,20,7.2
159,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
334,zdvinsk,54.7,78.67,-22.91,68,44,3.67
105,georgetown,6.8,-58.16,23.0,94,40,2.1
25,ponta do sol,-20.63,-46.0,17.22,95,12,1.47
226,chuy,-33.69,-53.46,23.39,91,68,1.07
291,oistins,13.07,-59.53,25.0,73,40,7.2
70,cape town,-33.93,18.42,18.0,93,20,7.2
443,muros,42.77,-9.06,11.52,93,75,12.3
150,mahebourg,-20.41,57.7,26.0,74,75,5.1
91,cidreira,-30.17,-50.22,25.72,79,12,4.67
301,arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
52,thinadhoo,0.53,72.93,28.17,100,24,1.32
575,hermanus,-34.42,19.24,17.56,95,88,2.02
438,edgewater,28.99,-80.9,18.49,96,90,3.1
16,touros,-5.2,-35.46,26.0,88,40,2.1
275,dikson,73.51,80.55,-18.39,91,56,10.17
235,los llanos de aridane,28.66,-17.92,15.0,82,0,3.6
571,jamestown,-33.21,138.6,22.34,55,0,2.82
89,methoni,36.82,21.7,4.0,93,76,2.1
329,grand gaube,-20.01,57.66,26.0,74,75,5.1
427,castro,-42.48,-73.76,12.0,71,48,3.6
35,hermanus,-34.42,19.24,17.56,95,88,2.02
318,sindor,62.87,51.9,-2.91,91,88,2.92
79,ushuaia,-54.81,-68.31,7.0,81,75,12.3
552,waddan,29.16,16.14,1.14,81,0,1.27
233,bredasdorp,-34.53,20.04,21.0,83,92,4.6
525,jamestown,-33.21,138.6,22.34,55,0,2.82
335,chuy,-33.69,-53.46,23.39,91,68,1.07
268,ribeira grande,38.52,-28.7,15.67,100,68,8.92
395,umea,63.83,20.26,-5.0,100,90,1.5
140,carutapera,-1.2,-46.02,23.32,100,80,1.87
229,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
295,lerwick,60.15,-1.15,3.5,86,92,5.37
76,ushuaia,-54.81,-68.31,7.0,81,75,12.3
256,east london,-33.02,27.91,21.0,100,20,1.0
460,dhidhdhoo,6.88,73.1,27.89,100,8,2.07
415,codrington,-28.95,153.24,29.65,51,75,6.2
15,jamestown,-33.21,138.6,22.34,55,0,2.82
257,nalut,31.86,10.98,2.34,80,0,1.37
127,cape town,-33.93,18.42,18.0,93,20,7.2
38,arlit,18.74,7.39,10.17,39,0,3.82
341,busselton,-33.64,115.35,24.09,80,0,6.87
481,bilma,18.69,12.92,10.09,34,0,5.97
66,angoche,-16.23,39.91,27.39,100,76,0.82
445,ribeira grande,38.52,-28.7,15.67,100,68,8.92
496,phalaborwa,-23.95,31.14,21.0,88,92,2.1
374,hithadhoo,-0.6,73.08,28.72,100,64,2.47
420,clyde river,70.47,-68.59,-32.0,74,1,2.1
532,igarka,67.47,86.57,-22.36,65,68,6.92
7,straumen,63.87,11.3,-1.0,100,75,1.0
372,itarema,-2.92,-39.92,24.47,96,32,3.22
497,muros,42.77,-9.06,11.52,93,75,12.3
589,pisco,-13.71,-76.2,24.0,94,75,6.7
284,lerwick,60.15,-1.15,3.5,86,92,5.37
541,margate,-43.03,147.26,21.0,49,75,7.7
550,leland,41.61,-88.8,-5.84,75,90,6.2
339,hermanus,-34.42,19.24,17.56,95,88,2.02
56,aksu,52.04,76.93,-15.0,84,90,3.0
113,ceyhan,37.03,35.82,9.0,100,75,4.6
298,barhi,24.31,85.42,14.0,67,0,4.6
551,saint george,39.45,22.34,1.07,70,20,1.02
193,hermanus,-34.42,19.24,17.56,95,88,2.02
565,ushuaia,-54.81,-68.31,7.0,81,75,12.3
590,jamestown,-33.21,138.6,22.34,55,0,2.82
8,ichhawar,23.03,77.02,11.0,50,0,2.6
447,hithadhoo,-0.6,73.08,28.72,100,64,2.47
58,rocha,-34.48,-54.34,22.02,88,12,1.22
304,keflavik,64.0,-22.56,-4.36,74,0,8.7
74,agustin codazzi,10.03,-73.24,28.0,48,20,9.3
510,kavaratti,10.57,72.64,27.99,100,0,3.57
230,songea,-10.68,35.65,20.0,94,75,0.87
142,chuy,-33.69,-53.46,23.39,91,68,1.07
112,guanhaes,-18.77,-42.93,18.59,99,80,1.12
585,hermanus,-34.42,19.24,17.56,95,88,2.02
517,arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
255,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
328,vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
547,nizhnyaya tavda,57.67,66.17,-21.66,76,68,4.12
302,porto novo,-23.68,-45.44,20.0,94,40,1.5
483,paamiut,61.99,-49.67,0.06,89,80,11.02
13,taltal,-25.41,-70.49,16.47,90,8,0.97
48,ushuaia,-54.81,-68.31,7.0,81,75,12.3
407,klaksvik,62.23,-6.59,3.0,74,76,10.3
429,ekibastuz,51.72,75.32,-18.54,68,80,2.62
72,jamestown,-33.21,138.6,22.34,55,0,2.82
212,dikson,73.51,80.55,-18.39,91,56,10.17
375,los llanos de aridane,28.66,-17.92,15.0,82,0,3.6
523,marsh harbour,26.54,-77.06,22.87,100,80,9.87
82,jamestown,-33.21,138.6,22.34,55,0,2.82
198,ugoofaaru,5.67,73.0,28.12,100,48,1.77
34,kudahuvadhoo,2.67,72.89,27.64,100,0,0.77
121,itarema,-2.92,-39.92,24.47,96,32,3.22
583,kuusamo,65.96,29.19,-2.0,100,90,4.6
437,bredasdorp,-34.53,20.04,21.0,83,92,4.6
425,samara,53.2,50.11,-8.0,85,75,4.0
250,dwarka,28.58,77.04,10.0,93,40,2.1
526,ushuaia,-54.81,-68.31,7.0,81,75,12.3
218,necochea,-38.55,-58.74,15.56,86,0,4.07
247,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
258,kuito,-12.38,16.94,15.06,93,48,1.42
194,ushuaia,-54.81,-68.31,7.0,81,75,12.3
181,halvad,23.02,71.18,9.39,54,0,2.92
317,la palma,5.36,-74.39,19.74,96,80,0.82
540,klaksvik,62.23,-6.59,3.0,74,76,10.3
31,nadym,65.53,72.51,-24.41,78,56,5.07
485,kruisfontein,-34.0,24.73,19.52,94,48,1.07
473,ribeira grande,38.52,-28.7,15.67,100,68,8.92
545,quatre cocos,-20.21,57.76,26.0,74,75,5.1
188,mar del plata,-46.43,-67.52,14.87,42,24,7.52
567,sambava,-14.27,50.17,25.84,100,64,4.77
449,ushuaia,-54.81,-68.31,7.0,81,75,12.3
47,east london,-33.02,27.91,21.0,100,20,1.0
179,rosita,13.92,-84.4,21.34,92,20,1.72
205,ushuaia,-54.81,-68.31,7.0,81,75,12.3
353,bredasdorp,-34.53,20.04,21.0,83,92,4.6
310,cidreira,-30.17,-50.22,25.72,79,12,4.67
280,muros,42.77,-9.06,11.52,93,75,12.3
286,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
455,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
62,ushuaia,-54.81,-68.31,7.0,81,75,12.3
68,harer,42.19,-111.17,-11.1,84,40,1.87
147,lebu,8.96,38.73,4.64,86,0,1.17
277,mar del plata,-46.43,-67.52,14.87,42,24,7.52
215,marzuq,14.4,46.47,5.64,98,12,1.02
1,vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
75,camacha,33.08,-16.33,16.0,59,75,2.6
210,jatara,25.01,79.05,11.59,51,0,1.87
245,luderitz,-26.65,15.16,17.06,94,12,4.87
482,leh,34.16,77.58,-26.66,70,76,0.47
574,faya,18.39,42.45,13.0,93,0,2.1
389,souillac,45.6,-0.6,12.0,71,0,7.7
174,henties bay,-22.12,14.28,17.31,100,92,2.37
64,changji,32.07,116.17,-0.16,88,92,3.27
337,mehamn,71.03,27.85,-17.91,100,12,1.62
414,maceio,-9.67,-35.74,24.0,88,40,1.5
285,hamilton,43.26,-79.87,-7.91,78,20,2.6
189,chuy,-33.69,-53.46,23.39,91,68,1.07
394,ushuaia,-54.81,-68.31,7.0,81,75,12.3
549,bredasdorp,-34.53,20.04,21.0,83,92,4.6
129,narsaq,60.91,-46.05,-2.0,63,32,19.0
239,bredasdorp,-34.53,20.04,21.0,83,92,4.6
410,torbay,47.66,-52.73,-11.0,66,75,15.4
492,cidreira,-30.17,-50.22,25.72,79,12,4.67
327,dharchula,29.85,80.53,-1.36,55,0,0.82
49,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
63,longyearbyen,78.22,15.63,-11.0,61,20,6.2
345,saint george,39.45,22.34,1.07,70,20,1.02
272,hermanus,-34.42,19.24,17.56,95,88,2.02
323,ushuaia,-54.81,-68.31,7.0,81,75,12.3
588,neustadt,47.05,8.31,2.38,86,40,2.1
146,margate,-43.03,147.26,21.0,49,75,7.7
254,harindanga,22.04,88.32,18.0,72,0,5.1
17,harper,30.3,-99.24,2.82,93,90,1.5
426,busselton,-33.64,115.35,24.09,80,0,6.87
390,ushuaia,-54.81,-68.31,7.0,81,75,12.3
593,lagoa,37.14,-8.45,8.0,93,20,1.5
260,ushuaia,-54.81,-68.31,7.0,81,75,12.3
560,damietta,31.42,31.81,12.0,87,0,3.6
27,meulaboh,4.14,96.13,27.02,100,12,0.82
199,kristianstad,56.03,14.16,6.0,75,36,7.7
227,ilulissat,69.22,-51.1,-13.0,65,20,4.1
46,caravelas,-17.73,-39.27,27.82,100,64,5.62
469,mahebourg,-20.41,57.7,26.0,74,75,5.1
499,axim,4.87,-2.24,27.57,99,0,1.42
356,sao joao da barra,-21.64,-41.05,25.92,100,24,5.27
136,torbay,47.66,-52.73,-11.0,66,75,15.4
95,jamestown,-33.21,138.6,22.34,55,0,2.82
519,hithadhoo,-0.6,73.08,28.72,100,64,2.47
361,druskininkai,54.02,23.98,1.0,97,0,3.0
366,zenzeli,45.92,47.05,-6.09,73,80,3.77
138,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
578,nacala,-14.56,40.69,25.89,100,76,1.32
231,ushuaia,-54.81,-68.31,7.0,81,75,12.3
463,autun,46.95,4.3,8.98,66,0,5.7
529,peruibe,-24.32,-47.0,26.62,100,12,9.67
83,port alfred,-33.59,26.89,22.09,94,100,1.32
65,manono,-7.3,27.4,20.99,100,92,1.87
220,port alfred,-33.59,26.89,22.09,94,100,1.32
562,ushuaia,-54.81,-68.31,7.0,81,75,12.3
333,pangnirtung,66.15,-65.72,-22.41,48,56,1.87
282,torbay,47.66,-52.73,-11.0,66,75,15.4
524,bandarbeyla,9.49,50.81,24.42,100,80,5.02
321,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
161,punta arenas,-53.16,-70.91,7.0,75,75,8.2
351,blagoyevo,63.37,47.92,-1.89,93,64,2.42
165,punta arenas,-53.16,-70.91,7.0,75,75,8.2
39,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
465,busselton,-33.64,115.35,24.09,80,0,6.87
379,salvador,-12.98,-38.48,28.0,83,20,5.1
535,ushuaia,-54.81,-68.31,7.0,81,75,12.3
520,ancud,-41.87,-73.83,12.0,71,48,3.6
240,touros,-5.2,-35.46,26.0,88,40,2.1
533,isla mujeres,21.23,-86.73,23.0,100,75,4.1
100,novyy urengoy,66.08,76.63,-23.49,72,88,6.37
538,upata,8.02,-62.41,23.77,64,0,4.47
67,galashki,43.1,44.99,0.0,96,90,3.0
20,hamilton,43.26,-79.87,-7.91,78,20,2.6
439,cockburn town,21.46,-71.14,24.87,100,92,8.37
158,energetik,51.74,58.8,-17.29,72,64,3.82
180,nanortalik,60.14,-45.24,-0.86,89,68,19.62
352,azanka,58.04,64.79,-18.89,83,76,2.72
477,horta,41.43,2.16,7.49,81,20,0.5
349,ushuaia,-54.81,-68.31,7.0,81,75,12.3
513,ribeira grande,38.52,-28.7,15.67,100,68,8.92
221,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
184,cururupu,-1.82,-44.87,22.09,100,80,1.22
71,upernavik,72.79,-56.15,-15.26,100,76,3.67
444,kaupanger,61.18,7.24,-8.01,100,68,0.77
186,taoudenni,22.68,-3.98,13.97,21,76,4.72
521,lebu,8.96,38.73,4.64,86,0,1.17
124,port alfred,-33.59,26.89,22.09,94,100,1.32
167,dikson,73.51,80.55,-18.39,91,56,10.17
42,bambous virieux,-20.34,57.76,26.0,74,75,5.1
131,bredasdorp,-34.53,20.04,21.0,83,92,4.6
332,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
44,chuy,-33.69,-53.46,23.39,91,68,1.07
110,cape town,-33.93,18.42,18.0,93,20,7.2
253,antofagasta,-23.65,-70.4,20.0,82,0,3.6
177,ribeira grande,38.52,-28.7,15.67,100,68,8.92
292,mehamn,71.03,27.85,-17.91,100,12,1.62
367,carnarvon,-30.97,22.13,17.14,89,92,1.97
478,chapeco,-27.1,-52.62,23.34,80,56,1.92
322,port alfred,-33.59,26.89,22.09,94,100,1.32
554,johi,26.69,67.61,10.22,91,36,1.87
495,ushuaia,-54.81,-68.31,7.0,81,75,12.3
315,aksarka,66.56,67.8,-22.36,65,56,5.82
61,salalah,17.01,54.1,23.0,60,75,3.6
402,morondava,-20.3,44.28,25.12,100,68,1.87
33,padang,-0.92,100.36,28.0,78,40,1.5
506,hermanus,-34.42,19.24,17.56,95,88,2.02
586,mahebourg,-20.41,57.7,26.0,74,75,5.1
359,busselton,-33.64,115.35,24.09,80,0,6.87
191,telimele,10.9,-13.03,18.24,83,12,1.27
336,real,14.67,121.6,29.0,70,40,3.1
316,mosquera,4.71,-74.23,14.0,87,75,1.5
300,mahebourg,-20.41,57.7,26.0,74,75,5.1
162,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
201,amantea,39.13,16.07,3.03,100,20,4.1
364,potosi,-19.59,-65.75,3.49,98,64,1.07
343,busselton,-33.64,115.35,24.09,80,0,6.87
388,ushuaia,-54.81,-68.31,7.0,81,75,12.3
528,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
236,estelle,32.87,-97.01,1.55,100,90,2.1
87,ponta do sol,-20.63,-46.0,17.22,95,12,1.47
474,cayenne,4.94,-52.33,26.0,83,75,3.1
211,arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
73,sinnamary,5.38,-52.96,26.34,95,92,5.87
502,dingle,11.0,122.67,25.87,87,48,6.12
45,mecca,21.43,39.83,16.02,62,0,2.02
404,bogatynia,50.91,14.95,1.56,92,36,4.47
512,lasa,34.92,32.53,12.43,71,75,6.7
228,souillac,45.6,-0.6,12.0,71,0,7.7
223,strezhevoy,60.73,77.6,-23.0,76,76,4.0
209,cape town,-33.93,18.42,18.0,93,20,7.2
21,hermanus,-34.42,19.24,17.56,95,88,2.02
452,atasu,48.68,71.64,-16.39,73,44,3.67
261,bilma,18.69,12.92,10.09,34,0,5.97
297,busselton,-33.64,115.35,24.09,80,0,6.87
466,melito di porto salvo,37.92,15.77,11.0,87,20,1.5
399,arlit,18.74,7.39,10.17,39,0,3.82
403,busselton,-33.64,115.35,24.09,80,0,6.87
453,chapais,49.78,-74.86,-18.0,70,90,4.1
314,iskateley,67.68,53.15,-9.11,84,88,5.52
203,arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
326,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
244,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
432,ushuaia,-54.81,-68.31,7.0,81,75,12.3
99,kimparana,12.83,-4.92,17.06,29,0,4.47
501,busselton,-33.64,115.35,24.09,80,0,6.87
93,mahebourg,-20.41,57.7,26.0,74,75,5.1
350,am timan,11.04,20.28,21.22,32,0,3.52
577,ushuaia,-54.81,-68.31,7.0,81,75,12.3
435,jamestown,-33.21,138.6,22.34,55,0,2.82
263,coquimbo,-29.95,-71.34,16.0,93,20,2.6
475,ushuaia,-54.81,-68.31,7.0,81,75,12.3
383,oksfjord,70.24,22.35,-8.85,78,56,7.2
539,dikson,73.51,80.55,-18.39,91,56,10.17
544,ushuaia,-54.81,-68.31,7.0,81,75,12.3
217,jaleswar,21.8,87.22,17.81,80,0,5.22
393,muros,42.77,-9.06,11.52,93,75,12.3
347,lebu,8.96,38.73,4.64,86,0,1.17
10,ushuaia,-54.81,-68.31,7.0,81,75,12.3
54,iqaluit,63.75,-68.52,-14.0,60,75,4.6
248,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
534,ribeira grande,38.52,-28.7,15.67,100,68,8.92
164,sambava,-14.27,50.17,25.84,100,64,4.77
324,slonim,53.09,25.32,1.56,94,56,5.67
509,ushuaia,-54.81,-68.31,7.0,81,75,12.3
249,buchanan,5.88,-10.05,24.0,94,40,1.37
4,ushuaia,-54.81,-68.31,7.0,81,75,12.3
18,marawi,8.0,124.29,29.17,53,32,0.77
311,padang,-0.92,100.36,28.0,78,40,1.5
584,yelandur,12.07,77.03,19.27,100,56,1.77
409,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
278,asyut,27.18,31.19,6.56,85,48,1.87
287,dakoro,14.51,6.76,13.72,35,0,6.27
2,algiers,29.94,-90.04,12.6,57,1,1.5
514,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
178,ushuaia,-54.81,-68.31,7.0,81,75,12.3
530,atar,20.52,-13.05,16.39,25,48,2.22
556,coquimbo,-29.95,-71.34,16.0,93,20,2.6
279,greenwood,34.2,-82.16,5.21,32,1,4.1
516,ushuaia,-54.81,-68.31,7.0,81,75,12.3
303,ushuaia,-54.81,-68.31,7.0,81,75,12.3
200,cape town,-33.93,18.42,18.0,93,20,7.2
522,luderitz,-26.65,15.16,17.06,94,12,4.87
160,cidreira,-30.17,-50.22,25.72,79,12,4.67
507,hithadhoo,-0.6,73.08,28.72,100,64,2.47
405,wattegama,7.35,80.68,22.32,92,80,1.47
270,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
494,ushuaia,-54.81,-68.31,7.0,81,75,12.3
243,karachi,24.87,67.03,13.0,54,8,2.62
424,ilulissat,69.22,-51.1,-13.0,65,20,4.1
293,bela,26.23,66.31,5.17,63,0,0.92
385,ati,13.21,18.34,16.84,34,0,4.97
400,port alfred,-33.59,26.89,22.09,94,100,1.32
401,fianarantsoa,-21.45,47.09,15.64,96,76,1.12
290,adrar,27.87,-0.29,8.0,33,0,3.6
411,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
412,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
413,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
330,ribeira grande,38.52,-28.7,15.67,100,68,8.92
559,busselton,-33.64,115.35,24.09,80,0,6.87
143,chuy,-33.69,-53.46,23.39,91,68,1.07
111,cap malheureux,-19.98,57.61,26.0,74,75,5.1
81,meulaboh,4.14,96.13,27.02,100,12,0.82
299,ribeira grande,38.52,-28.7,15.67,100,68,8.92
423,hambantota,6.12,81.12,28.0,83,0,2.6
308,beyneu,45.32,55.19,-9.76,80,88,3.87
125,sorland,67.67,12.69,0.49,100,88,5.22
580,lebu,8.96,38.73,4.64,86,0,1.17
90,dikson,73.51,80.55,-18.39,91,56,10.17
108,mar del plata,-46.43,-67.52,14.87,42,24,7.52
591,touros,-5.2,-35.46,26.0,88,40,2.1
246,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
208,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
381,taoudenni,22.68,-3.98,13.97,21,76,4.72
537,adrar,27.87,-0.29,8.0,33,0,3.6
214,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
430,bredasdorp,-34.53,20.04,21.0,83,92,4.6
202,busselton,-33.64,115.35,24.09,80,0,6.87
373,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
312,brody,50.08,25.14,-2.51,90,48,4.42
305,mahebourg,-20.41,57.7,26.0,74,75,5.1
238,saldanha,41.42,-6.55,6.59,96,92,5.02
206,ushuaia,-54.81,-68.31,7.0,81,75,12.3
145,derzhavinsk,51.1,66.31,-20.24,79,44,1.77
152,pirenopolis,-15.85,-48.96,19.0,100,75,1.0
480,bayir,37.27,28.22,5.0,93,0,1.5
92,punta arenas,-53.16,-70.91,7.0,75,75,8.2
313,busselton,-33.64,115.35,24.09,80,0,6.87
11,ostrovnoy,68.05,39.51,-10.66,87,44,5.12
558,henties bay,-22.12,14.28,17.31,100,92,2.37
0,busselton,-33.64,115.35,24.09,80,0,6.87
43,upernavik,72.79,-56.15,-15.26,100,76,3.67
242,georgetown,6.8,-58.16,23.0,94,40,2.1
182,gat,14.69,-16.54,21.0,35,12,4.6
88,ventspils,57.39,21.56,4.0,93,90,9.3
464,arnedo,42.23,-2.1,7.67,93,88,1.5
457,muyezerskiy,63.93,31.65,0.62,86,92,4.47
365,manchar,19.0,73.94,9.27,66,0,1.12
348,dingle,11.0,122.67,25.87,87,48,6.12
542,port elizabeth,39.31,-74.98,-4.01,56,1,1.5
486,lajas,22.41,-80.29,20.47,88,8,2.6
461,codrington,-28.95,153.24,29.65,51,75,6.2
213,luderitz,-26.65,15.16,17.06,94,12,4.87
128,qaanaaq,77.48,-69.36,-23.11,84,24,2.42
392,marsa matruh,31.35,27.25,8.64,94,68,3.37
104,hermanus,-34.42,19.24,17.56,95,88,2.02
384,east london,-33.02,27.91,21.0,100,20,1.0
86,port alfred,-33.59,26.89,22.09,94,100,1.32
273,aras,14.28,44.38,2.14,67,0,0.37
555,dalvik,57.79,14.13,4.0,86,88,8.7
434,hithadhoo,-0.6,73.08,28.72,100,64,2.47
29,opuwo,-18.06,13.84,15.27,49,0,1.67
169,mahebourg,-20.41,57.7,26.0,74,75,5.1
